action_id,account_id,collector_id,action_date,action_type,note_count,worked_flag,load_ts,batch_id,src_file_name
30001,4481,4,2025-12-11,NOTE,0,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30002,2236,17,2025-12-22,NOTE,2,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30003,2157,13,2026-01-01,REVIEW,4,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30004,3724,9,2025-12-08,CALL,0,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30005,1422,16,2025-12-16,CALL,2,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30006,2471,13,2026-01-01,NOTE,2,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30007,2486,9,2026-01-05,NOTE,2,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30008,1885,2,2025-12-13,CALL,2,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30009,1418,13,2025-12-28,ESCALATE,3,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30010,2090,14,2025-12-20,REVIEW,3,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30011,2658,5,2025-12-25,CALL,2,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30012,3461,7,2025-12-13,CALL,4,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30013,3086,10,2025-12-07,NOTE,2,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30014,1270,3,2025-12-13,CALL,3,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30015,1547,18,2025-12-06,NOTE,3,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30016,3984,19,2025-12-26,ESCALATE,1,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30017,3851,13,2025-12-28,REVIEW,2,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30018,4685,1,2025-12-11,NOTE,2,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30019,1416,10,2025-12-12,CALL,4,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30020,2061,11,2025-12-16,CALL,3,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30021,2533,3,2026-01-05,REVIEW,0,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30022,1606,15,2025-12-21,REVIEW,0,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30023,4397,10,2026-01-05,NOTE,1,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30024,4471,4,2025-12-15,CALL,4,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30025,1486,4,2025-12-18,NOTE,0,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30026,1610,2,2026-01-05,CALL,4,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30027,4016,19,2025-12-23,REVIEW,3,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30028,2075,13,2025-12-13,NOTE,2,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30029,4531,16,2025-12-20,ESCALATE,0,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30030,4625,16,2025-12-09,ESCALATE,3,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30031,1744,16,2026-01-03,CALL,3,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30032,3110,17,2025-12-26,NOTE,3,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30033,3237,7,2025-12-12,ESCALATE,0,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30034,3155,17,2025-12-27,ESCALATE,1,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30035,1179,16,2025-12-16,ESCALATE,4,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30036,3950,16,2025-12-22,REVIEW,2,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30037,4062,5,2025-12-13,CALL,4,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30038,1728,8,2025-12-15,ESCALATE,2,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30039,3222,9,2025-12-24,ESCALATE,4,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30040,3953,19,2026-01-02,NOTE,2,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30041,3221,6,2026-01-01,REVIEW,0,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30042,3355,1,2026-01-01,CALL,0,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30043,4702,14,2025-12-09,CALL,0,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30044,3882,15,2025-12-20,NOTE,4,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30045,1156,5,2025-12-22,REVIEW,0,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30046,1051,18,2025-12-21,NOTE,0,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30047,3010,13,2025-12-14,REVIEW,4,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30048,3286,18,2025-12-13,NOTE,2,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30049,2774,13,2026-01-04,ESCALATE,2,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30050,4473,16,2025-12-19,NOTE,3,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30051,1836,16,2025-12-12,REVIEW,0,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30052,4646,9,2025-12-10,REVIEW,2,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30053,3315,7,2025-12-14,REVIEW,2,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30054,2157,8,2025-12-30,ESCALATE,2,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30055,4597,12,2025-12-16,ESCALATE,1,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30056,1719,5,2025-12-23,REVIEW,3,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30057,2262,17,2025-12-08,ESCALATE,3,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30058,4544,5,2025-12-08,REVIEW,1,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30059,3005,10,2025-12-11,NOTE,4,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30060,2889,19,2025-12-23,NOTE,0,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30061,1455,6,2025-12-29,REVIEW,1,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30062,4897,10,2025-12-31,REVIEW,4,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30063,2416,20,2026-01-01,ESCALATE,4,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30064,2708,19,2025-12-28,ESCALATE,4,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30065,1913,19,2025-12-21,CALL,1,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30066,1260,14,2025-12-17,CALL,1,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30067,3285,18,2026-01-03,ESCALATE,3,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30068,3553,18,2026-01-03,REVIEW,3,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30069,3016,3,2026-01-04,REVIEW,2,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30070,4438,9,2026-01-04,ESCALATE,2,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30071,4541,10,2025-12-19,ESCALATE,3,Y,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30072,3287,7,2025-12-17,ESCALATE,1,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30073,4436,3,2025-12-09,ESCALATE,1,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30074,3845,13,2025-12-31,NOTE,3,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
30075,4456,19,2025-12-17,CALL,0,N,2026-01-05 10:00:00,batch_001,workqueue_actions_batch_001.csv
